LANGUAGE, French,
STRM_briefing_name,TTS Island Life,
STRM_mission_description,tts.host22.com,
STRS_hints_vehicle_information,VEHICLE INFORMATION:\n\nName: %4\nType: %1\ndirection: %2\nHeight ASL: %3m\nDriver: %5\nFree Cargo: %6\nlength: %7m,
STRS_functions_crimelog_msg12,Speeding,
STRS_anfang_laden,Joining Game... \nPlease Wait.
STRS_anfang_02,"Bienvenue sur TTS-Serveur"
STRS_anfang_03,"Jouez RP"
STRS_anfang_04,"Bon jeux à tous !"
STRS_anfang_05_civ,"civil debug 1"
STRS_anfang_05_cop,
STRS_anfang_cop_loadout,
STRS_anfang_06,""
STRS_check_civ_in_terrorbase,Vous entrez dans le camp des terroristes.
STRS_southChernarus_area,Vous n'avez pas de competence dans ce domaine. Faite demi-tour!
STRS_prohibited_area,Demi-tour !
STRS_verbotene_zone_teleport,Vous etes entrer dans une zone interdite et avez été teleporté vers votre zone de respawn.
STRS_hunger_verhungern,Vous etes affamé.,
STRS_arbeiter_in_copbase,Une de vos putes etais trop proche du poste de police.,
STRS_arbeiter_in_terrorbase,Une de vos putes etais trop proche du camp terroriste.,
STRS_dead_player_is_dead_civ,Vous etes mort,
STRS_dead_player_is_dead_cop,Vous etes mort,
STRS_slave_zuviele,Vous ne pouvez pas acheter de plus d'esclaves!!,
STRS_slave_nomoney,Vous ne pouvez pas payer un esclave ... Peut-etre que vous devriez etre un esclave!!.,
STRS_slave_gekauft," ""%1"," Vous avez acheter un esclave pour $%2. Emmenez-le a un lieu de travail et il vous fera gagner de l'argent."" "
STRS_slave_moneyaction,Prenez ce que cet esclave vous a fait gagner.,
STRS_slave_tot,Un de vos esclaves est mort! Protegez-les à l'avenir!,
STRS_slave_geldabnahme_ja,Cet esclave vous a fait gagner $%1.,
STRS_slave_geldabnahme_nein,Cet esclave n'a pas d'argent!!.,
STRS_huren_zuviele,Vous ne pouvez pas acheter plus de putes!,
STRS_huren_nomoney,Vous n'avez pas asser d'argent pour vous payer une pute!.,
STRS_huren_moneyaction,Prendre la tune de la pute.,
STRS_huren_tot,Une de vos putes est morte! Protegez-les a l'avenir!
STRS_huren_geldabnahme_ja,Cette pute vous a fait gagner $%1.,
STRS_huren_geldabnahme_nein,Cette pute n'a pas d'argent, donner lui une bonne leçon!!.,
STRS_arbeiter_gekauft,"%1, un nouveau travailleur est de votre equipe. vous avez payer $%2. Amenez-le a un lieu de travail afin de lui faire gagner de l'argent.",
STRS_arbeiter_moneyaction,Prendre l'argent de votre travailleur.,
STRS_arbeiter_tot,Un travailleur de votre equipe est mort!!,
STRS_arbeiter_geldabnahme_ja,Vous avez $%1 a partir de votre travailleur.,
STRS_arbeiter_geldabnahme_nein,Le travailleur ne dispose pas actuellement d'argent.,
STRS_arbeiter_meister,Ce travailleur travaille pour %1.,
STRS_arbeiter_copaction,Pour qui travaillez-vous pour?,
STRS_arbeiter_zuviele,Vous ne pouvez pas acheter plus de travailleur,
STRS_arbeiter_nomoney,Vous ne pouvez pas payer un travailleur. Revenez plus tard.,
STRS_inventar_beschreibung_bankversicherung,Une assurances Banquaire vous empeche de perdre de l'argent quand quelqu'un vole la banque. Chaque fois que la banque se fait voler une assurance banquaire sera utilise. Si vous posseder 2 Assurances banquaire cela signifie que vous ne perdez pas d'argent la prochaine fois que la Banque est voler..,
STRS_dead_menuentry_hints,Stats,
STRS_dead_menuentry_inventar,Inventaire,
STRS_dead_menuentry_animation,Animations,
STRS_addAction_copstorage1,Stockage priver,
STRS_addAction_copstorage2,Stockage public,
STRS_addaction_freecam,Camera satellite,
